MFO,SBC,LIA,MOM,,,
MFO,LIA,MOM,SED,,,
RET,MFO,LIA,ORO,,,
MFO,SBC,LIA,ORO,,,
MFO,LIA,ORO,SED,,,
MFO,SBC,LIA,RET,,,
MFO,LIA,RET,SED,,,
MFO,SBC,LIA,SED,,,
RET,LIA,ORO,MOM,,,
SBC,LIA,ORO,MOM,,,
SED,LIA,ORO,MOM,,,
RET,SBC,LIA,MOM,,,
RET,SED,LIA,MOM,,,
SED,SBC,LIA,MOM,,,
RET,SBC,LIA,ORO,,,
RET,SED,LIA,ORO,,,
SED,SBC,LIA,ORO,,,
SED,SBC,LIA,RET,,,
RET,MFO,ORO,MOM,,,
MFO,SBC,ORO,MOM,,,
MFO,ORO,MOM,SED,,,
RET,MFO,SBC,MOM,,,
RET,MFO,MOM,SED,,,
MFO,SBC,MOM,SED,,,
RET,MFO,SBC,ORO,,,
RET,MFO,ORO,SED,,,
MFO,SBC,ORO,SED,,,
MFO,SBC,RET,SED,,,
RET,SBC,ORO,MOM,,,
RET,SED,ORO,MOM,,,
SED,SBC,ORO,MOM,,,
RET,SED,SBC,MOM,,,
RET,SED,SBC,ORO,,,
BDA,RSF,ANGP,APRC,ARPS,,
WEBS,BDA,ANGP,APRC,ARPS,,
MFO,APN,RET,MOM,LIA,,
MFO,APN,MOM,SBC,LIA,,
MFO,SED,APN,MOM,LIA,,
MFO,APN,RET,SBC,LIA,,
MFO,SED,APN,RET,LIA,,
MFO,SED,APN,SBC,LIA,,
APN,RET,MOM,SBC,LIA,,
SED,APN,RET,MOM,LIA,,
SED,APN,MOM,SBC,LIA,,
SED,APN,RET,SBC,LIA,,
MFO,APN,RET,MOM,SBC,,
MFO,SED,APN,RET,MOM,,
MFO,SED,APN,MOM,SBC,,
MFO,SED,APN,RET,SBC,,
SED,APN,RET,MOM,SBC,,
WEBS,BDA,DSE,APRC,ARPS,,
WEBS,BDA,GEE,APRC,ARPS,,
CA,OIN,COSI,GL,SMA,,
